Database???Annual by Province
Indicators£ºBirth Rate(?)
Year£ºLATEST10
Region,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Beijing,,8.12,8.24,9.06,9.32,7.96,9.75,8.93,9.05,8.29
Tianjin,,6.73,6.67,7.65,7.37,5.84,8.19,8.28,8.75,8.58
Hebei,,10.83,11.26,13.20,12.42,11.35,13.18,13.04,12.88,13.02
Shanxi,,9.12,9.63,11.06,10.29,9.98,10.92,10.81,10.70,10.47
Inner Mongolia,,8.23,8.35,9.47,9.03,7.72,9.31,8.98,9.17,8.94
Liaoning,,6.45,6.39,6.49,6.60,6.17,6.49,6.09,6.15,5.71
Jilin,,6.05,6.62,6.76,5.55,5.87,6.62,5.36,5.73,6.53
Heilongjiang,,5.73,5.98,6.22,6.12,6.00,7.37,6.86,7.30,6.99
Shanghai,,7.00,7.20,8.10,9.00,7.52,8.35,8.18,9.56,6.97
Jiangsu,,9.12,9.32,9.71,9.76,9.05,9.45,9.44,9.44,9.59
Zhejiang,,10.51,11.02,11.92,11.22,10.52,10.51,10.01,10.12,9.47
Anhui,,12.03,12.41,14.07,13.02,12.92,12.86,12.88,13.00,12.23
Fujian,,12.90,13.20,15.00,14.50,13.90,13.70,12.20,12.74,11.41
Jiangxi,,12.59,13.43,13.79,13.45,13.20,13.24,13.19,13.46,13.48
Shandong,,11.77,13.26,17.54,17.89,12.55,14.23,11.41,11.90,11.50
Henan,,11.02,11.72,12.95,13.26,12.70,12.80,12.27,11.87,11.56
Hubei,,11.35,11.54,12.60,12.04,10.74,11.86,11.08,11.00,10.39
Hunan,,10.39,12.19,13.27,13.57,13.58,13.52,13.50,13.58,13.35
Guangdong,,12.54,12.79,13.68,11.85,11.12,10.80,10.71,11.60,10.45
Guangxi,,13.31,14.12,15.14,13.82,14.05,14.07,14.28,14.20,13.71
Hainan,,12.87,14.48,14.73,14.57,14.57,14.56,14.59,14.66,14.72
Chongqing,,10.48,11.02,11.18,11.77,11.05,10.67,10.37,10.86,9.88
Sichuan,,10.70,11.05,11.26,10.48,10.30,10.22,9.90,9.89,9.79
Guizhou,,13.65,13.90,13.98,13.43,13.00,12.98,13.05,13.27,13.31
Yunnan,,12.63,13.19,13.53,13.16,12.88,12.65,12.60,12.63,12.71
Tibet,,14.60,15.22,16.00,15.79,15.75,15.76,15.77,15.48,15.39
Shaanxi,,10.55,10.67,11.11,10.64,10.10,10.13,10.01,10.12,9.75
Gansu,,10.60,11.07,12.54,12.18,12.36,12.21,12.16,12.11,12.08
Qinghai,,13.66,14.31,14.42,14.70,14.72,14.67,14.16,14.30,14.43
Ningxia,,13.72,13.32,13.44,13.69,12.62,13.10,13.12,13.26,13.65
Xinjiang,,8.14,10.69,15.88,15.34,15.59,16.44,15.84,15.32,14.99
Data Sources£ºNational Bureau of Statistics
