Database???Annual by Province
Indicators£ºDeath Rate(?)
Year£ºLATEST10
Region,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Beijing,,5.49,5.58,5.30,5.20,4.95,4.92,4.52,4.31,4.27
Tianjin,,5.30,5.42,5.05,5.54,5.61,6.05,6.00,6.12,6.08
Hebei,,6.12,6.38,6.60,6.36,5.79,6.23,6.87,6.41,6.52
Shanxi,,5.85,5.32,5.45,5.52,5.56,5.93,5.57,5.83,5.61
Inner Mongolia,,5.66,5.95,5.74,5.69,5.32,5.75,5.62,5.52,5.43
Liaoning,,7.25,7.39,6.93,6.78,6.59,6.23,6.12,6.54,6.05
Jilin,,6.90,6.26,6.50,5.60,5.53,6.22,5.04,5.37,5.51
Heilongjiang,,6.74,6.67,6.63,6.61,6.60,6.46,6.08,6.03,5.92
Shanghai,,5.50,5.40,5.30,5.00,5.07,5.21,5.24,5.36,5.10
Jiangsu,,7.04,7.03,7.03,7.03,7.03,7.02,7.01,6.99,6.98
Zhejiang,,5.52,5.58,5.56,5.52,5.50,5.51,5.45,5.52,5.40
Anhui,,6.04,5.96,5.90,5.96,5.94,5.89,6.06,6.14,5.91
Fujian,,6.10,6.20,6.20,6.20,6.10,6.20,6.01,5.73,5.20
Jiangxi,,6.03,6.06,6.08,6.16,6.24,6.26,6.28,6.14,5.98
Shandong,,7.50,7.18,7.40,7.05,6.67,6.84,6.40,6.95,6.40
Henan,,6.84,6.80,6.97,7.11,7.05,7.02,6.76,6.71,6.62
Hubei,,7.08,7.00,7.01,6.97,5.83,6.96,6.15,6.12,6.01
Hunan,,7.28,7.08,7.08,7.01,6.86,6.89,6.96,7.01,6.80
Guangdong,,4.46,4.55,4.52,4.41,4.32,4.70,4.69,4.65,4.35
Guangxi,,6.14,5.96,6.22,5.95,6.15,6.21,6.35,6.31,6.04
Hainan,,6.11,6.01,6.01,6.00,6.00,5.95,5.90,5.81,5.75
Chongqing,,7.57,7.54,7.27,7.24,7.19,7.05,6.77,6.86,6.71
Sichuan,,7.09,7.01,7.03,6.99,6.94,7.02,6.90,6.92,6.81
Guizhou,,6.95,6.85,6.88,6.93,7.20,7.18,7.15,6.96,6.93
Yunnan,,6.20,6.32,6.68,6.55,6.48,6.45,6.43,6.41,6.36
Tibet,,4.46,4.58,4.95,5.11,5.10,5.21,5.39,5.21,5.13
Shaanxi,,6.28,6.24,6.24,6.23,6.28,6.26,6.15,6.24,6.06
Gansu,,6.75,6.65,6.52,6.18,6.15,6.11,6.08,6.05,6.03
Qinghai,,6.08,6.25,6.17,6.18,6.17,6.18,6.13,6.06,6.12
Ningxia,,5.69,5.54,4.75,4.72,4.58,4.53,4.50,4.33,4.68
Xinjiang,,4.45,4.56,4.48,4.26,4.51,4.97,4.92,4.48,4.42
Data Sources£ºNational Bureau of Statistics
