Database???Annual by Province
Indicators£ºPer Capita Disposable Income Nationwide(yuan)
Year£ºLATEST20
Region,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
Beijing,69434,67756,62361,57230,52530,48458,44489,40830,,,,,,,,,,,,
Tianjin,43854,42404,39506,37022,34074,31291,28832,26359,,,,,,,,,,,,
Hebei,27136,25665,23446,21484,19725,18118,16647,15190,,,,,,,,,,,,
Shanxi,25214,23828,21990,20420,19049,17854,16538,15120,,,,,,,,,,,,
Inner Mongolia,31497,30555,28376,26212,24127,22310,20559,18693,,,,,,,,,,,,
Liaoning,32738,31820,29701,27835,26040,24576,22820,20818,,,,,,,,,,,,
Jilin,25751,24563,22798,21368,19967,18684,17520,15998,,,,,,,,,,,,
Heilongjiang,24902,24254,22726,21206,19838,18593,17404,15903,,,,,,,,,,,,
Shanghai,72232,69442,64183,58988,54305,49867,45966,42174,,,,,,,,,,,,
Jiangsu,43390,41400,38096,35024,32070,29539,27173,24776,,,,,,,,,,,,
Zhejiang,52397,49899,45840,42046,38529,35537,32658,29775,,,,,,,,,,,,
Anhui,28103,26415,23984,21863,19998,18363,16796,15154,,,,,,,,,,,,
Fujian,37202,35616,32644,30048,27608,25404,23331,21218,,,,,,,,,,,,
Jiangxi,28017,26262,24080,22031,20110,18437,16734,15100,,,,,,,,,,,,
Shandong,32886,31597,29205,26930,24685,22703,20864,19008,,,,,,,,,,,,
Henan,24810,23903,21964,20170,18443,17125,15695,14204,,,,,,,,,,,,
Hubei,27881,28319,25815,23757,21787,20026,18283,16472,,,,,,,,,,,,
Hunan,29380,27680,25241,23103,21115,19317,17622,16005,,,,,,,,,,,,
Guangdong,41029,39014,35810,33003,30296,27859,25685,23421,,,,,,,,,,,,
Guangxi,24562,23328,21485,19905,18305,16873,15557,14082,,,,,,,,,,,,
Hainan,27904,26679,24579,22553,20653,18979,17476,15733,,,,,,,,,,,,
Chongqing,30824,28920,26386,24153,22034,20110,18352,16569,,,,,,,,,,,,
Sichuan,26522,24703,22461,20580,18808,17221,15749,14231,,,,,,,,,,,,
Guizhou,21795,20397,18430,16704,15121,13697,12371,11083,,,,,,,,,,,,
Yunnan,23295,22082,20084,18348,16720,15223,13772,12578,,,,,,,,,,,,
Tibet,21744,19501,17286,15457,13639,12254,10730,9740,,,,,,,,,,,,
Shaanxi,26226,24666,22528,20635,18874,17395,15837,14372,,,,,,,,,,,,
Gansu,20335,19139,17488,16011,14670,13467,12185,10954,,,,,,,,,,,,
Qinghai,24037,22618,20757,19001,17302,15813,14374,12948,,,,,,,,,,,,
Ningxia,25735,24412,22400,20562,18832,17329,15907,14566,,,,,,,,,,,,
Xinjiang,23845,23103,21500,19975,18355,16859,15097,13670,,,,,,,,,,,,
Data Sources£ºNational Bureau of Statistics
