Database???Annual by Province
Indicators£ºRegistered Divorces
Year£ºLATEST20
Region,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
Beijing,,8.38,7.41,8.06,10.58,8.22,6.56,6.46,4.86,4.35,4.40,4.13,3.76,3.66,3.60,3.40,3.30,3.10,2.80,2.77
Tianjin,,7.47,6.41,5.89,6.52,5.19,4.45,4.53,3.63,3.21,3.00,2.76,2.40,2.21,2.10,1.90,1.80,1.40,1.20,1.31
Hebei,,25.57,23.45,23.24,22.02,19.90,18.57,17.88,17.12,15.63,14.50,12.67,11.22,9.88,9.20,8.30,7.70,5.80,5.30,5.16
Shanxi,,9.12,8.75,8.22,7.65,7.22,6.56,6.10,5.28,4.75,4.30,3.89,3.28,3.24,3.00,2.90,2.70,2.30,2.30,2.29
Inner Mongolia,,9.98,9.88,10.09,9.84,9.19,8.84,8.07,7.06,6.67,5.70,5.20,5.02,4.73,4.10,3.90,3.70,3.00,2.50,3.31
Liaoning,,17.68,17.24,16.68,16.01,15.23,15.27,15.21,14.12,13.91,12.80,13.15,12.17,11.55,10.70,11.10,10.70,8.30,6.50,8.39
Jilin,,12.98,12.88,13.36,12.92,12.74,12.21,12.40,11.10,10.14,9.40,8.96,8.37,8.30,7.60,7.30,7.10,4.30,3.80,5.20
Heilongjiang,,18.68,19.37,19.69,18.72,18.98,18.73,17.83,15.68,14.95,13.80,12.61,11.67,10.71,9.90,9.60,9.30,7.70,7.20,7.59
Shanghai,,6.17,5.90,5.88,8.26,6.66,6.15,6.96,5.28,4.79,4.70,4.82,4.64,4.69,4.70,3.90,3.60,3.30,3.00,3.15
Jiangsu,,29.95,28.48,28.78,26.13,22.93,21.83,21.66,18.12,16.68,16.00,14.37,13.55,12.67,11.00,9.70,9.10,6.90,7.00,6.01
Zhejiang,,15.44,15.42,15.77,14.71,13.96,13.58,13.24,12.25,11.52,11.20,10.71,9.72,9.01,8.30,7.30,6.90,5.60,4.60,4.17
Anhui,,25.01,24.38,24.21,21.72,18.12,17.10,15.62,13.37,11.95,11.00,9.30,8.15,7.43,6.60,5.80,5.30,4.30,4.00,4.08
Fujian,,11.24,10.69,10.59,9.63,8.93,8.73,8.26,7.49,6.68,6.10,5.82,5.01,4.98,5.10,3.90,4.30,3.90,3.00,3.02
Jiangxi,,13.19,12.51,11.08,10.21,9.52,8.94,8.61,7.55,7.01,6.50,6.15,5.60,5.12,4.50,3.90,4.00,2.90,2.80,2.61
Shandong,,28.46,27.45,27.25,25.45,24.09,23.41,22.51,19.67,18.16,16.80,15.17,13.92,12.24,10.90,9.90,8.90,6.80,5.20,6.21
Henan,,35.65,32.60,31.66,27.75,25.23,23.09,20.95,16.00,13.80,13.40,12.44,11.77,11.21,10.00,9.10,8.70,6.70,6.20,6.79
Hubei,,21.21,20.10,19.93,18.31,16.69,15.74,15.09,13.56,12.46,11.60,10.89,10.38,9.27,8.20,7.60,7.00,5.30,4.50,4.96
Hunan,,22.04,21.32,20.76,19.35,18.09,17.60,16.73,15.54,14.80,13.80,13.16,12.12,10.60,9.30,9.60,8.10,5.90,5.40,5.81
Guangdong,,24.81,22.88,22.03,21.19,19.34,17.79,17.70,15.54,14.14,12.70,11.91,10.56,9.47,8.90,8.10,7.30,6.00,5.10,5.16
Guangxi,,14.27,12.87,12.00,11.28,10.44,10.09,9.32,8.59,7.76,7.30,6.56,5.93,5.31,4.70,4.80,4.00,3.30,2.90,3.09
Hainan,,2.15,1.96,1.78,1.66,1.51,1.41,1.32,1.21,1.09,0.90,1.09,0.74,0.66,0.60,0.60,0.50,0.40,0.40,0.40
Chongqing,,15.62,15.33,15.08,13.90,13.73,13.26,13.37,12.57,12.35,11.30,10.14,9.17,9.20,8.20,7.30,6.60,5.20,4.40,4.74
Sichuan,,31.94,31.26,31.17,29.62,28.62,27.50,26.83,25.10,23.15,22.10,19.97,18.58,16.70,14.80,14.10,13.10,10.70,10.30,10.03
Guizhou,,16.61,15.17,13.45,12.10,10.84,9.57,8.57,8.12,7.22,6.40,5.80,5.12,4.58,4.20,3.80,3.70,2.80,2.30,2.82
Yunnan,,14.45,13.33,12.71,11.93,10.91,10.05,9.13,8.21,7.43,6.90,6.08,5.59,5.11,4.70,4.70,4.30,3.90,3.60,3.72
Tibet,,0.53,0.47,0.40,0.35,0.24,0.26,0.18,0.13,0.20,0.20,0.17,0.13,0.15,0.10,0.10,0.10,0.10,0.10,0.08
Shaanxi,,13.67,12.84,10.88,10.14,9.73,8.51,8.06,7.10,6.82,6.40,5.52,5.36,5.00,4.30,4.00,4.10,3.40,3.20,3.44
Gansu,,6.22,5.78,5.41,5.03,4.62,4.22,3.85,3.29,3.07,2.80,2.47,2.40,2.20,2.30,2.30,2.10,1.90,1.70,1.95
Qinghai,,1.85,1.71,1.64,1.52,1.28,1.25,1.08,1.07,0.94,0.80,0.76,0.75,0.83,0.80,0.80,0.80,0.70,0.60,0.69
Ningxia,,2.44,2.28,2.22,1.95,1.81,1.58,1.59,1.50,1.33,1.20,1.27,1.07,0.97,0.90,0.90,0.80,0.60,0.50,0.61
Xinjiang,,7.31,5.95,7.44,9.36,10.18,10.80,10.91,10.31,10.42,9.80,8.84,8.74,8.15,7.70,7.80,6.80,5.90,5.20,5.51
Data Sources£ºNational Bureau of Statistics
