Database???Annual by Province
Indicators£ºNumber of Students Per 100 000 Population in Primary _Education(person)
Year£ºLATEST10
Region,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Beijing,,4371,4206,4031,4000,3951,3883,3815,3560,3468
Tianjin,,4500,4324,4149,4080,3969,3893,3907,3928,3992
Hebei,,8988,8761,8530,8358,8075,7696,7495,7765,7521
Shanxi,,6168,6172,6196,6198,6221,6185,6359,7285,7756
Inner Mongolia,,5379,5306,5260,5329,5244,5191,5263,5501,5685
Liaoning,,4475,4474,4445,4538,4554,4521,4657,4859,4956
Jilin,,4385,4424,4494,4592,4650,4612,4952,5178,5239
Heilongjiang,,3389,3481,3623,3776,3856,3875,4017,4871,4892
Shanghai,,3409,3309,3243,3270,3292,3325,3330,3239,3175
Jiangsu,,7113,6980,6753,6547,6277,5938,5497,5352,5205
Zhejiang,,6399,6374,6333,6410,6481,6448,6383,6347,6317
Anhui,,7307,7304,7110,7005,6946,6885,6834,6781,7446
Fujian,,8485,8218,7927,7780,7575,7277,6933,6794,6664
Jiangxi,,8852,9113,9209,9259,9298,9132,9061,9672,9727
Shandong,,7351,7255,7122,7021,6892,6662,6463,6513,6718
Henan,,10541,10405,10303,10186,9931,9865,9993,11495,11620
Hubei,,6363,6211,6025,5915,5774,5538,5680,5675,6588
Hunan,,7664,7609,7500,7398,7256,7082,7046,7183,7463
Guangdong,,9108,8849,8564,8344,8102,7816,7626,7694,7873
Guangxi,,10049,9760,9586,9411,9258,9150,9104,9182,9262
Hainan,,9134,8983,8828,8711,8563,8407,8345,8573,8810
Chongqing,,6650,6814,6888,6955,6932,6849,6754,6657,6776
Sichuan,,6663,6691,6679,6698,6655,6554,6513,6966,7207
Guizhou,,10786,10384,10185,10011,9872,9888,10205,10957,11749
Yunnan,,7973,7905,7864,7942,8014,8166,8416,8783,9215
Tibet,,9911,9684,9520,9349,9192,9458,9571,9628,9792
Shaanxi,,7184,6926,6617,6375,6175,6015,6057,6269,6790
Gansu,,7362,7222,7110,7006,6956,6980,7243,8048,8597
Qinghai,,8267,8128,7843,7787,7787,7980,8283,8777,9092
Ningxia,,8491,8526,8613,8726,8814,8999,9335,9667,10163
Xinjiang,,10482,9926,9534,9150,8916,8581,8484,8606,8785
Data Sources£ºNational Bureau of Statistics
