Database???Annual by Province
Indicators£ºGross Regional Product(100 million yuan)
Year£ºLATEST10
Region,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Beijing,36102.6,35445.1,33106.0,29883.0,27041.2,24779.1,22926.0,21134.6,19024.7,17188.8
Tianjin,14083.7,14055.5,13362.9,12450.6,11477.2,10879.5,10640.6,9945.4,9043.0,8112.5
Hebei,36206.9,34978.6,32494.6,30640.8,28474.1,26398.4,25208.9,24259.6,23077.5,21384.7
Shanxi,17651.9,16961.6,15958.1,14484.3,11946.4,11836.4,12094.7,11987.2,11683.1,10894.4
Inner Mongolia,17359.8,17212.5,16140.8,14898.1,13789.3,12949.0,12158.2,11392.4,10470.1,9458.1
Liaoning,25115.0,24855.3,23510.5,21693.0,20392.5,20210.3,20025.7,19208.8,17848.6,16354.9
Jilin,12311.3,11726.8,11253.8,10922.0,10427.0,10018.0,9966.5,9427.9,8678.0,7734.6
Heilongjiang,13698.5,13544.4,12846.5,12313.0,11895.0,11690.0,12170.8,11849.1,11015.8,9935.0
Shanghai,38700.6,37987.6,36011.8,32925.0,29887.0,26887.0,25269.8,23204.1,21305.6,20009.7
Jiangsu,102719.0,98656.8,93207.6,85869.8,77350.9,71255.9,64830.5,59349.4,53701.9,48839.2
Zhejiang,64613.3,62462.0,58002.8,52403.1,47254.0,43507.7,40023.5,37334.6,34382.4,31854.8
Anhui,38680.6,36845.5,34010.9,29676.2,26307.7,23831.2,22519.7,20584.0,18341.7,16284.9
Fujian,43903.9,42326.6,38687.8,33842.4,29609.4,26819.5,24942.1,22503.8,20190.7,17917.7
Jiangxi,25691.5,24667.3,22716.5,20210.8,18388.6,16780.9,15667.8,14300.2,12807.7,11584.5
Shandong,73129.0,70540.5,66648.9,63012.1,58762.5,55288.8,50774.8,47344.3,42957.3,39064.9
Henan,54997.1,53717.8,49935.9,44824.9,40249.3,37084.1,34574.8,31632.5,28961.9,26318.7
Hubei,43443.5,45429.0,42022.0,37235.0,33353.0,30344.0,28242.1,25378.0,22590.9,19942.5
Hunan,41781.5,39894.1,36329.7,33828.1,30853.5,28538.6,25881.3,23545.2,21207.2,18915.0
Guangdong,110760.9,107986.9,99945.2,91648.7,82163.2,74732.4,68173.0,62503.4,57007.7,53072.8
Guangxi,22156.7,21237.1,19627.8,17790.7,16116.6,14797.8,13587.8,12448.4,11303.6,10299.9
Hainan,5532.4,5330.8,4910.7,4497.5,4090.2,3734.2,3449.0,3115.9,2789.4,2463.8
Chongqing,25002.8,23605.8,21588.8,20066.3,18023.0,16040.5,14623.8,13027.6,11595.4,10161.2
Sichuan,48598.8,46363.8,42902.1,37905.1,33138.5,30342.0,28891.3,26518.0,23922.4,21050.9
Guizhou,17826.6,16769.3,15353.2,13605.4,11792.4,10541.0,9173.1,7973.1,6742.2,5615.6
Yunnan,24521.9,23223.8,20880.6,18486.0,16369.0,14960.0,14041.7,12825.5,11097.4,9523.1
Tibet,1902.7,1697.8,1548.4,1349.0,1173.0,1043.0,939.7,828.2,710.2,611.5
Shaanxi,26181.9,25793.2,23941.9,21473.5,19045.8,17898.8,17402.5,15905.4,14142.4,12175.1
Gansu,9016.7,8718.3,8104.1,7336.7,6907.9,6556.6,6518.4,6014.5,5393.1,4816.9
Qinghai,3005.9,2941.1,2748.0,2465.1,2258.2,2011.0,1847.7,1713.3,1528.5,1370.4
Ningxia,3920.5,3748.5,3510.2,3200.3,2781.4,2579.4,2473.9,2327.7,2131.0,1931.8
Xinjiang,13797.6,13597.1,12809.4,11159.9,9630.8,9306.9,9264.5,8392.6,7411.8,6532.0
Note:1.Data are calclulated at current prices.
"¡¡¡¡¡¡2.The industrial classification is based on the ""Industrial Classification for National Economic Activities ""(GB/T 4754 - 2017).The primary industry refers to agriculture, forestry, animal husbandry and fishery industries (except support services to agriculture, forestry, animal husbandry and fishery industries). The secondary industry refers to mining (except auxiliary activities of mining), manufacturing (except repairs for metal products, machinery and equipment), production and supply of electricity, steam, gas and water, and construction. The tertiary industry refers to all other industries not included in primary or secondary industry."
"¡¡¡¡¡¡3.According to China''s regulations on the national accounts data revisions and international practice, systematic revisions are made on the Gross Regional Product(GRP) figures for 2018 and earlier years with the data from the fourth economic census available."
¡¡¡¡¡¡4.Data of 2019 are final verified figures.
"¡¡¡¡¡¡5.Due to rounding off, the sum of itemized data may not equal to the total data."
Data Sources£ºNational Bureau of Statistics
