Region,year,marriage,divorce,income,grp,higher_edu,senior_edu,junior_edu,primary_edu,kindergarten_edu,birth,death,natural_growth,natural_disaster,urban_unemployment,mobile_owner,car_owner,patent
Beijing,2019,12.9,8.38,67756,35445.1,5320.0,1078.0,1433.0,4371,2171,8.12,5.49,2.63,5.2,7.4,186.66,590.32,226113
Tianjin,2019,9.64,7.47,42404,14055.5,4214.0,1673.0,1945.0,4500,1768,6.73,5.3,1.43,1.38,26.1,109.15,308.88,96045
Hebei,2019,42.13,25.57,25665,34978.6,2596.0,3053.0,3935.0,8988,3164,10.83,6.12,4.71,23.2,36.0,109.53,1647.85,101274
Shanxi,2019,25.5,9.12,23828,16961.6,2515.0,2815.0,3071.0,6168,2681,9.12,5.85,3.27,124.0,21.3,106.92,710.55,31705
Inner Mongolia,2019,16.18,9.98,30555,17212.5,2053.0,2330.0,2618.0,5379,2395,8.23,5.66,2.57,46.8,28.1,118.59,576.74,21069
Liaoning,2019,25.56,17.68,31820,24855.3,3136.0,2135.0,2328.0,4475,2099,6.45,7.25,-0.8,47.5,45.6,112.22,861.09,69732
Jilin,2019,18.08,12.98,24563,11726.8,3373.0,2134.0,2421.0,4385,1522,6.05,6.9,-0.85,51.7,23.9,107.69,451.11,31052
Heilongjiang,2019,24.44,18.68,24254,13544.4,2531.0,2054.0,2422.0,3389,1351,5.73,6.74,-1.01,221.4,34.7,104.74,516.11,37313
Shanghai,2019,9.87,6.17,69442,37987.6,3582.0,1070.0,1860.0,3409,2357,7.0,5.5,1.5,1.9,19.3,165.06,413.82,173586
Jiangsu,2019,56.94,29.95,41400,98656.8,3311.0,2410.0,3012.0,7113,3154,9.12,7.04,2.08,15.6,35.1,125.97,1912.66,594249
Zhejiang,2019,29.36,15.44,49899,62462.0,2509.0,2626.0,2853.0,6399,3377,10.51,5.52,4.99,552.6,34.4,149.34,1661.27,435883
Anhui,2019,54.16,25.01,26415,36845.5,2447.0,3109.0,3460.0,7307,3343,12.03,6.04,5.99,85.0,26.8,91.8,907.83,166871
Fujian,2019,24.03,11.24,35616,42326.6,2577.0,2677.0,3462.0,8485,4303,12.9,6.1,6.8,117.7,16.8,118.81,680.33,153133
Jiangxi,2019,28.87,13.19,26262,24667.3,3010.0,3400.0,4735.0,8852,3567,12.59,6.03,6.56,333.6,27.5,89.09,601.21,91474
Shandong,2019,53.3,28.46,31597,70540.5,2855.0,2720.0,3592.0,7351,3365,11.77,7.5,4.27,425.3,44.2,107.1,2333.73,263211
Henan,2019,76.45,35.65,23903,53717.8,2913.0,3685.0,4877.0,10541,4486,11.02,6.84,4.18,41.9,49.4,102.09,1612.09,144010
Hubei,2019,38.93,21.21,28319,45429.0,3248.0,2239.0,2795.0,6363,3005,11.35,7.08,4.27,100.7,37.6,95.97,861.06,141321
Hunan,2019,38.03,22.04,27680,39894.1,2873.0,2930.0,3598.0,7664,3299,10.39,7.28,3.11,243.1,31.1,96.09,870.59,106113
Guangdong,2019,67.45,24.81,39014,107986.9,2751.0,2855.0,3429.0,9108,4094,12.54,4.46,8.08,55.8,36.9,143.5,2326.38,807700
Guangxi,2019,33.03,14.27,23328,21237.1,2887.0,3843.0,4476.0,10049,4401,13.31,6.14,7.17,100.5,19.7,103.38,673.94,41900
Hainan,2019,6.56,2.15,26679,5330.8,2497.0,3361.0,3951.0,9134,4017,12.87,6.11,6.76,1.7,5.6,120.21,137.24,9302
Chongqing,2019,23.83,15.62,28920,23605.8,3258.0,3298.0,3597.0,6650,3167,10.48,7.57,2.91,19.6,17.5,117.75,461.6,67271
Sichuan,2019,61.32,31.94,24703,46363.8,2546.0,2776.0,3282.0,6663,3170,10.7,7.09,3.61,340.9,50.4,112.76,1196.95,131529
Guizhou,2019,36.24,16.61,20397,16769.3,2453.0,4170.0,4980.0,10786,4292,13.65,6.95,6.7,47.0,15.3,111.78,532.15,44328
Yunnan,2019,35.92,14.45,22082,23223.8,2401.0,3244.0,3821.0,7973,3103,12.63,6.2,6.43,102.1,22.9,100.1,742.09,35212
Tibet,2019,3.12,0.53,19501,1697.8,1588.0,2643.0,4064.0,9911,4118,14.6,4.46,10.14,1.7,2.1,91.69,55.88,2304
Shaanxi,2019,27.19,13.67,24666,25793.2,3812.0,2868.0,2908.0,7184,3596,10.55,6.28,4.27,58.8,23.8,119.72,675.96,92087
Gansu,2019,19.85,6.22,19139,8718.3,2396.0,2831.0,3344.0,7362,3537,10.6,6.75,3.85,46.5,10.8,103.92,343.3,27637
Qinghai,2019,5.77,1.85,22618,2941.1,1486.0,3490.0,3736.0,8267,3564,13.66,6.08,7.58,14.3,3.1,110.73,119.61,5017
Ningxia,2019,6.09,2.44,24412,3748.5,2581.0,3422.0,4343.0,8491,3602,13.72,5.69,8.03,2.9,5.0,119.24,157.91,9275
Xinjiang,2019,16.59,7.31,23103,13597.1,2106.0,3496.0,3929.0,10482,6110,8.14,4.45,3.69,41.9,8.4,108.79,436.13,14771
Beijing,2018,13.78,7.41,62361,33106.0,5268.0,1151.0,1285.0,4206,2076,8.24,5.58,2.66,18.8,7.9,186.11,574.04,211212
Tianjin,2018,9.75,6.41,39506,13362.9,4150.0,1752.0,1800.0,4324,1689,6.67,5.42,1.25,1.0,25.8,105.7,298.65,99038
Hebei,2018,45.87,23.45,23446,32494.6,2457.0,2885.0,3765.0,8761,3194,11.26,6.38,4.88,41.3,38.0,108.46,1529.98,83785
Shanxi,2018,27.85,8.75,21990,15958.1,2383.0,2919.0,3073.0,6172,2668,9.63,5.32,4.31,109.2,24.6,106.55,652.15,27106
Inner Mongolia,2018,17.69,9.88,28376,16140.8,1984.0,2449.0,2517.0,5306,2439,8.35,5.95,2.4,144.5,27.0,120.14,531.91,16426
Liaoning,2018,28.08,17.24,29701,23510.5,2866.0,2195.0,2255.0,4474,2091,6.39,7.39,-1.0,90.2,44.4,111.96,796.37,65686
Jilin,2018,19.32,12.88,22798,11253.8,3131.0,2076.0,2431.0,4424,1543,6.62,6.26,0.36,88.5,26.8,110.98,421.92,27034
Heilongjiang,2018,27.82,19.37,22726,12846.5,2405.0,2079.0,2462.0,3481,1378,5.98,6.67,-0.69,87.5,39.4,101.6,477.41,34582
Shanghai,2018,10.51,5.9,64183,36011.8,3517.0,1082.0,1789.0,3309,2363,7.2,5.4,1.8,0.9,19.4,153.57,393.37,150233
Jiangsu,2018,63.77,28.48,38096,93207.6,3143.0,2323.0,2812.0,6980,3183,9.32,7.03,2.29,41.3,34.4,121.65,1776.57,600306
Zhejiang,2018,33.73,15.42,45840,58002.8,2370.0,2581.0,2854.0,6374,3419,11.02,5.58,5.44,36.8,34.1,144.83,1532.95,455590
Anhui,2018,61.91,24.38,23984,34010.9,2245.0,3065.0,3344.0,7304,3313,12.41,5.96,6.45,138.2,28.1,87.54,814.2,207428
Fujian,2018,27.36,10.69,32644,38687.8,2355.0,2659.0,3291.0,8218,4306,13.2,6.2,7.0,38.1,17.3,115.54,622.82,166610
Jiangxi,2018,33.06,12.51,24080,22716.5,2771.0,3242.0,4478.0,9113,3490,13.43,6.06,7.37,58.8,35.1,87.0,537.55,86001
Shandong,2018,59.9,27.45,29205,66648.9,2588.0,2723.0,3455.0,7255,3074,13.26,7.18,6.08,289.6,46.5,105.2,2128.29,231585
Henan,2018,80.9,32.6,21964,49935.9,2653.0,3631.0,4727.0,10405,4582,11.72,6.8,4.92,63.5,48.6,97.39,1449.68,154381
Hubei,2018,43.78,20.1,25815,42022.0,3088.0,2153.0,2690.0,6211,2949,11.54,7.0,4.54,81.1,36.1,94.13,772.4,124535
Hunan,2018,42.16,21.32,25241,36329.7,2610.0,2891.0,3505.0,7609,3283,12.19,7.08,5.11,64.5,40.4,91.36,780.96,94503
Guangdong,2018,71.38,22.88,35810,99945.2,2542.0,2917.0,3335.0,8849,4021,12.79,4.55,8.24,258.6,36.5,148.27,2116.28,793819
Guangxi,2018,36.19,12.87,21485,19627.8,2602.0,3756.0,4353.0,9760,4499,14.12,5.96,8.16,14.5,16.7,102.42,588.42,44224
Hainan,2018,7.27,1.96,24579,4910.7,2305.0,3362.0,3810.0,8983,4040,14.48,6.01,8.47,6.0,5.5,116.16,126.9,6451
