Database???Annual by Province
Indicators£ºNumber of Domestic Patents Application Accepted(item)
Year£ºLATEST10
Region,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Beijing,,226113,211212,185928,189129,156312,138111,123336,92305,77955
Tianjin,,96045,99038,86996,106514,79963,63422,60915,41009,38489
Hebei,,101274,83785,61288,54838,44060,30000,27619,23241,17595
Shanxi,,31705,27106,20697,20031,14948,15687,18859,16786,12769
Inner Mongolia,,21069,16426,11701,10672,8876,6359,6388,4732,3841
Liaoning,,69732,65686,49871,52603,42153,37860,45996,41152,37102
Jilin,,31052,27034,20450,18922,14800,11933,10751,9171,8196
Heilongjiang,,37313,34582,30958,35293,34611,31856,32264,30610,23432
Shanghai,,173586,150233,131740,119937,100006,81664,86450,82682,80215
Jiangsu,,594249,600306,514402,512429,428337,421907,504500,472656,348381
Zhejiang,,435883,455590,377115,393147,307264,261435,294014,249373,177066
Anhui,,166871,207428,175872,172552,127709,99160,93353,74888,48556
Fujian,,153133,166610,128079,130376,83146,58075,53701,42773,32325
Jiangxi,,91474,86001,70591,60494,36936,25594,16938,12458,9673
Shandong,,263211,231585,204859,212911,193220,158619,155170,128614,109599
Henan,,144010,154381,119240,94669,74373,62434,55920,43442,34076
Hubei,,141321,124535,110234,95157,74240,59050,50816,51316,42510
Hunan,,106113,94503,77934,67779,54501,44194,41336,35709,29516
Guangdong,,807700,793819,627834,505667,355939,278358,264265,229514,196272
Guangxi,,41900,44224,56988,59239,43696,32298,23251,13610,8106
Hainan,,9302,6451,4564,3658,3127,2416,2359,1824,1489
Chongqing,,67271,72121,64648,59518,82791,55298,49036,38924,32039
Sichuan,,131529,152987,167484,142522,110746,91167,82453,66312,49734
Guizhou,,44328,44508,34610,25315,18295,22467,17405,11296,8351
Yunnan,,35212,36515,28695,23709,17603,13343,11512,9260,7150
Tibet,,2304,1469,1097,712,309,248,203,170,263
Shaanxi,,92087,76512,98935,69611,74904,56235,57287,43608,32227
Gansu,,27637,27882,24448,20276,14584,12020,10976,8261,5287
Qinghai,,5017,4439,3181,3284,2590,1534,1099,844,732
Ningxia,,9275,9860,8575,6149,4394,3532,3230,1985,1079
Xinjiang,,14771,14647,14260,14105,12250,10210,8224,7044,4736
Data Sources£ºNational Bureau of Statistics
