Database???Annual by Province
Indicators£ºPopularization Rate of Mobile Telephone(set/100 persons)
Year£ºLATEST10
Region,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Beijing,,186.66,186.11,172.85,178.06,181.73,189.46,159.53,156.90,131.29
Tianjin,,109.15,105.70,101.49,96.01,88.54,89.12,89.88,97.80,95.12
Hebei,,109.53,108.46,100.83,95.33,82.63,84.36,81.91,76.10,70.82
Shanxi,,106.92,106.55,98.53,91.42,88.46,91.35,85.55,76.90,68.46
Inner Mongolia,,118.59,120.14,112.36,98.04,94.66,105.18,107.73,102.70,93.70
Liaoning,,112.22,111.96,108.85,101.13,97.89,103.29,104.41,97.90,87.69
Jilin,,107.69,110.98,105.57,97.14,91.22,94.91,86.22,82.10,72.96
Heilongjiang,,104.74,101.60,96.53,90.69,87.36,90.21,78.76,69.50,62.00
Shanghai,,165.06,153.57,136.40,130.44,129.69,135.74,132.52,128.20,113.79
Jiangsu,,125.97,121.65,109.69,102.50,100.21,101.39,100.03,94.60,84.95
Zhejiang,,149.34,144.83,134.18,129.27,131.50,133.82,128.62,117.90,105.67
Anhui,,91.80,87.54,78.09,70.10,68.17,69.31,65.65,60.50,54.72
Fujian,,118.81,115.54,109.82,107.36,108.20,112.37,114.02,108.80,96.21
Jiangxi,,89.09,87.00,74.62,68.39,66.37,64.69,62.07,57.30,52.04
Shandong,,107.10,105.20,99.38,96.46,92.30,88.50,85.62,78.70,74.24
Henan,,102.09,97.39,89.48,82.76,79.51,81.74,76.49,61.60,53.82
Hubei,,95.97,94.13,84.62,79.59,77.42,79.21,76.16,79.10,69.02
Hunan,,96.09,91.36,82.85,73.20,69.17,70.15,68.30,64.60,57.06
Guangdong,,143.50,148.27,132.48,130.46,133.47,139.35,138.16,118.70,103.37
Guangxi,,103.38,102.42,89.77,78.01,74.96,74.75,62.20,62.10,54.94
Hainan,,120.21,116.16,108.83,102.75,98.16,100.44,95.87,88.40,77.29
Chongqing,,117.75,117.70,106.49,94.48,90.76,86.58,80.16,70.90,62.43
Sichuan,,112.76,108.72,92.67,88.29,82.87,81.18,77.50,68.30,59.89
Guizhou,,111.78,109.46,97.36,86.71,83.34,82.25,76.03,66.90,58.76
Yunnan,,100.10,96.47,88.08,82.65,78.87,79.52,72.46,62.50,56.27
Tibet,,91.69,90.84,86.11,85.90,82.93,91.90,85.13,77.70,65.25
Shaanxi,,119.72,121.33,110.04,100.02,94.04,95.55,93.32,87.20,77.84
Gansu,,103.92,103.74,96.22,84.44,80.99,79.46,76.53,68.80,63.07
Qinghai,,110.73,113.79,102.09,90.95,87.88,93.24,93.88,94.60,82.32
Ningxia,,119.24,128.04,116.16,106.15,95.32,104.04,95.87,92.50,82.22
Xinjiang,,108.79,108.73,92.13,88.91,85.96,90.38,94.24,91.00,76.47
Data Sources£ºNational Bureau of Statistics
