Database???Annual by Province
Indicators£ºRegistered Unemployed Persons in Urban Area(10000 persons)
Year£ºLATEST10
Region,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Beijing,,7.4,7.9,8.1,8.0,7.8,7.4,7.5,8.1,8.1
Tianjin,,26.1,25.8,26.0,25.8,25.1,22.5,21.7,20.4,20.1
Hebei,,36.0,38.0,39.9,39.7,39.4,38.3,37.2,36.8,36.0
Shanxi,,21.3,24.6,26.5,26.1,25.6,24.5,21.1,21.0,21.1
Inner Mongolia,,28.1,27.0,27.1,26.7,25.9,24.8,23.8,23.1,21.8
Liaoning,,45.6,44.4,42.7,47.3,46.2,41.0,39.6,38.1,39.4
Jilin,,23.9,26.8,26.3,25.7,23.9,23.2,22.6,22.3,22.2
Heilongjiang,,34.7,39.4,39.7,39.6,41.0,39.9,41.4,41.3,35.0
Shanghai,,19.3,19.4,22.1,24.3,24.8,25.6,25.3,26.7,27.0
Jiangsu,,35.1,34.4,34.7,35.2,36.0,36.6,37.6,40.5,41.4
Zhejiang,,34.4,34.1,33.8,33.9,33.7,33.1,33.4,33.4,31.7
Anhui,,26.8,28.1,29.0,30.4,30.9,31.5,32.4,31.3,33.1
Fujian,,16.8,17.3,17.1,16.3,15.4,14.3,14.7,14.5,14.6
Jiangxi,,27.5,35.1,32.3,31.3,29.9,29.4,27.4,25.7,24.6
Shandong,,44.2,46.5,45.7,45.8,43.7,43.1,42.2,43.4,45.1
Henan,,49.4,48.6,40.7,43.6,42.5,40.0,40.2,38.3,38.4
Hubei,,37.6,36.1,37.1,32.9,33.4,37.9,40.2,42.3,55.1
Hunan,,31.1,40.4,44.5,44.9,45.1,47.3,45.6,44.1,43.1
Guangdong,,36.9,36.5,37.1,38.0,37.0,36.8,38.0,39.6,38.8
Guangxi,,19.7,16.7,14.7,18.1,18.1,18.7,18.0,18.9,18.8
Hainan,,5.6,5.5,5.5,5.1,4.8,4.3,3.9,3.6,2.9
Chongqing,,17.5,13.1,14.3,15.7,14.3,13.4,12.1,12.4,13.0
Sichuan,,50.4,53.3,55.8,56.3,54.6,54.4,42.9,40.7,36.9
Guizhou,,15.3,15.1,14.9,14.8,14.5,14.1,13.7,12.6,12.5
Yunnan,,22.9,20.9,19.8,20.1,19.5,19.2,18.1,17.4,16.0
Tibet,,2.1,2.1,1.9,1.8,1.8,1.7,1.6,1.6,1.0
Shaanxi,,23.8,24.1,23.4,22.7,22.3,22.3,21.1,19.5,20.9
Gansu,,10.8,10.0,9.6,9.8,9.5,9.7,9.3,9.8,10.8
Qinghai,,3.1,4.6,4.7,4.6,4.4,4.2,4.2,4.1,4.4
Ningxia,,5.0,5.4,5.1,5.1,4.9,5.0,4.7,4.6,5.2
Xinjiang,,8.4,9.5,10.0,9.7,10.3,11.2,11.9,11.8,11.1
Data Sources£ºNational Bureau of Statistics
